id,name,symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
binance-coin,BNB,BNB
xrp,XRP,XRP
solana,Solana,SOL
dogecoin,Dogecoin,DOGE
cardano,Cardano,ADA
tron,TRON,TRX
avalanche,Avalanche,AVAX
chainlink,Chainlink,LINK
shiba-inu,Shiba Inu,SHIB
stellar,Stellar,XLM
polkadot,Polkadot,DOT
bitcoin-cash,Bitcoin Cash,BCH
unus-sed-leo,UNUS SED LEO,LEO
uniswap,Uniswap,UNI
litecoin,Litecoin,LTC
near-protocol,NEAR Protocol,NEAR
sp8de,Sp8de,SPX
aave,Aave,AAVE
multi-collateral-dai,Multi Collateral DAI,DAI
internet-computer,Internet Computer,ICP
hedera-hashgraph,Hedera Hashgraph,HBAR
ethereum-classic,Ethereum Classic,ETC
crypto-com-coin,Crypto.com Coin,CRO
vechain,VeChain,VET
monero,Monero,XMR
fetch,Artificial Superintelligence Alliance,FET
filecoin,Filecoin,FIL
algorand,Algorand,ALGO
fantom,Fantom,FTM
stacks,Stacks,STX
theta,THETA,THETA
the-graph,The Graph,GRT
mantra-dao,MANTRA DAO,OM
thorchain,THORChain,RUNE
cosmos,Cosmos,ATOM
injective-protocol,Injective,INJ
lido-dao,Lido DAO,LDO
raydium,Raydium,RAY
quant,Quant,QNT
maker,Maker,MKR
the-sandbox,The Sandbox,SAND
tezos,Tezos,XTZ
gala,Gala,GALA
kucoin-token,KuCoin Token,KCS
eos,EOS,EOS
helium,Helium,HNT
flow,Flow,FLOW
gatetoken,GateToken,GT
curve-dao-token,Curve DAO Token,CRV
iota,IOTA,IOTA
arweave,Arweave,AR
zcash,Zcash,ZEC
bitcoin-sv,Bitcoin SV,BSV
aioz-network,AIOZ Network,AIOZ
ftx-token,FTX Token,FTT
neo,Neo,NEO
xinfin-network,XinFin Network,XDC
axie-infinity,Axie Infinity,AXS
decentraland,Decentraland,MANA
polygon,Polygon,MATIC
nexo,Nexo,NEXO
pendle,Pendle,PENDLE
elrond-egld,MultiversX,EGLD
chiliz,Chiliz,CHZ
akash-network,Akash Network,AKT
superfarm,SuperVerse,SUPER
conflux-network,Conflux,CFX
mina,Mina,MINA
compound,Compound,COMP
pancakeswap,PancakeSwap,CAKE
ecash,eCash,XEC
dexe,DeXe,DEXE
gnosis-gno,Gnosis,GNO
reserve-rights,Reserve Rights,RSR
amp,Amp,AMP
livepeer,Livepeer,LPT
oasis-network,Oasis,ROSE
horizen,Horizen,ZEN
1inch,1inch Network,1INCH
nervos-network,Nervos Network,CKB
trust-wallet-token,Trust Wallet Token,TWT
telcoin,Telcoin,TEL
kusama,Kusama,KSM
kava,Kava,KAVA
synthetix-network-token,Synthetix,SNX
dash,Dash,DASH
nxm,NXM,NXM
theta-fuel,Theta Fuel,TFUEL
holo,Holo,HOT
harmony,Harmony,ONE
zilliqa,Zilliqa,ZIL
enjin-coin,Enjin Coin,ENJ
wootrade,WOO,WOO